Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ
132.2148,-23.4001,4.938662,18.07195,0,0,0
132.223,-23.39978,4.938943,18.07026,0,0,0
132.2361,-23.39978,4.938943,18.07026,0,0,0
132.2444,-23.39945,4.939225,18.06858,0,0,0
132.2544,-23.39945,4.939225,18.06858,0,0,0
132.2628,-23.40098,4.938775,18.06807,0,0,0
132.2727,-23.40098,4.938775,18.06807,0,0,0
132.281,-23.39951,4.939206,18.06854,0,0,0
132.2907,-23.39951,4.939206,18.06854,0,0,0
132.2987,-23.39951,4.939206,18.06854,0,0,0
132.3066,-23.39951,4.939184,18.06853,0,0,0
132.3162,-23.39951,4.939184,18.06853,0,0,0
132.3243,-23.4006,4.939103,18.06644,0,0,0
132.3337,-23.4006,4.939103,18.06644,0,0,0
132.3428,-23.4006,4.939101,18.06643,0,0,0
132.3526,-23.4006,4.939101,18.06643,0,0,0
132.3607,-23.39878,4.939827,18.06525,0,0,0
132.3705,-23.39878,4.939827,18.06525,0,0,0
132.3787,-23.39878,4.939827,18.06525,0,0,0
132.3868,-23.40029,4.939353,18.06473,0,0,0
132.3966,-23.40029,4.939353,18.06473,0,0,0
132.4052,-23.4003,4.939373,18.06473,0,0,0
132.4153,-23.4003,4.939373,18.06473,0,0,0
132.4242,-23.40031,4.939377,18.06473,0,0,0
132.434,-23.40031,4.939377,18.06473,0,0,0
132.4427,-23.3988,4.939788,18.06524,0,0,0
132.4523,-23.3988,4.939788,18.06524,0,0,0
132.4606,-23.39842,4.940093,18.06362,0,0,0
132.4704,-23.39842,4.940093,18.06362,0,0,0
132.4784,-23.39842,4.940093,18.06362,0,0,0
132.4865,-23.39995,4.939638,18.06311,0,0,0
132.4961,-23.39995,4.939638,18.06311,0,0,0
132.5043,-23.4004,4.939306,18.06469,0,0,0
132.514,-23.4004,4.939306,18.06469,0,0,0
132.5223,-23.40042,4.939341,18.0647,0,0,0
132.5321,-23.40042,4.939341,18.0647,0,0,0
132.5402,-23.39888,4.939774,18.06521,0,0,0
132.5498,-23.39888,4.939774,18.06521,0,0,0
132.5579,-23.39888,4.939774,18.06521,0,0,0
132.5659,-23.40041,4.93932,18.06469,0,0,0
132.5757,-23.40041,4.93932,18.06469,0,0,0
132.5838,-23.40087,4.938995,18.06628,0,0,0
